load_id,po_id,carrier_id,mode,equipment,pickup_planned,delivery_planned,pickup_actual,delivery_actual,pallets,weight_lbs,cube_cuft,planned_miles,linehaul_cost,fuel_cost,accessorial_cost,status,osd_flag,osd_reason
900059,50059,300,TL,Reefer,2025-01-09,2025-01-13,2025-01-09,2025-01-13,7,20526,1546.4,1905,4284.84,851.27,0,Delivered,0,
900060,50060,301,TL,Flatbed,2025-02-05,2025-02-08,2025-02-06,2025-02-10,13,13296,1088.3,1263,2912.68,424.16,0,Delivered,0,
900061,50061,300,TL,Dry Van,2025-01-28,2025-01-30,2025-01-29,2025-02-01,13,12649,1750.7,1047,2436.95,388.52,0,Delivered,0,
900062,50062,304,TL,Dry Van,2025-02-02,2025-02-06,2025-02-03,2025-02-07,9,12506,1271.4,1826,3791.6,502.16,75,Delivered,0,
900063,50063,300,TL,Dry Van,2025-02-01,2025-02-05,2025-02-01,2025-02-03,22,17936,1214.2,2008,4394.8,580.31,0,Delivered,0,
900064,50064,303,TL,Reefer,2025-06-30,2025-07-04,2025-06-30,2025-07-05,14,14996,797.7,2112,4119.24,452.91,50,In Transit,0,
900065,50065,301,LTL,Reefer,2025-03-05,2025-03-09,2025-03-05,2025-03-08,6,5669,164.1,2112,631.43,110.23,0,Delivered,0,
900066,50066,303,LTL,Dry Van,2025-02-24,2025-02-25,2025-02-24,2025-02-25,3,4764,247.0,450,300.0,44.23,50,Delivered,0,
900067,50067,301,LTL,Dry Van,2025-06-24,2025-06-27,2025-06-24,2025-06-30,4,5584,290.4,1263,411.67,79.22,75,Delayed,0,
900068,50068,300,TL,Reefer,2025-03-27,2025-03-30,2025-03-27,2025-03-31,13,19266,1237.9,1370,2594.8,329.51,50,Delivered,0,
900069,50069,301,TL,Dry Van,2025-01-16,2025-01-19,2025-01-16,2025-01-18,10,18180,1151.3,1263,2399.39,267.27,50,Delivered,0,
900070,50070,304,LTL,Reefer,2025-05-03,2025-05-06,2025-05-05,2025-05-07,3,213,269.3,1263,380.84,44.56,200,Delivered,0,
900071,50071,304,TL,Dry Van,2025-06-20,2025-06-24,2025-06-20,2025-06-23,10,12495,1187.0,1905,4012.25,654.98,0,Delivered,0,
900072,50072,300,TL,Dry Van,2025-04-10,2025-04-11,2025-04-10,2025-04-11,12,13646,995.1,761,1586.01,301.52,0,Delivered,0,
900073,50073,300,TL,Dry Van,2025-02-19,2025-02-23,2025-02-19,2025-02-21,16,10286,1338.7,1925,4759.74,563.45,0,Delivered,0,
900074,50074,301,TL,Reefer,2025-04-10,2025-04-14,2025-04-12,2025-04-15,8,18714,1080.3,1826,3262.28,387.74,0,Delivered,0,
900075,50075,301,TL,Reefer,2025-03-22,2025-03-27,2025-03-22,2025-03-27,19,11119,1053.7,2139,3747.36,404.92,75,Delivered,1,Damaged packaging
900076,50076,302,TL,Dry Van,2025-03-08,2025-03-11,2025-03-08,2025-03-11,6,16669,1192.3,1370,3466.74,664.46,50,Delivered,0,
900077,50077,303,TL,Dry Van,2025-06-13,2025-06-17,2025-06-13,2025-06-17,13,24095,1159.0,2181,4258.47,566.63,0,Delivered,0,
900078,50078,301,TL,Dry Van,2025-02-25,2025-03-01,2025-02-25,2025-03-01,11,14209,937.7,2181,4030.11,456.43,200,Delivered,0,
900079,50079,302,TL,Dry Van,2025-01-21,2025-01-25,2025-01-20,2025-01-25,10,15117,1339.8,2001,5151.02,799.96,0,Delivered,0,
900080,50080,303,TL,Dry Van,2025-01-23,2025-01-28,2025-01-25,2025-01-29,6,10913,944.0,2139,3999.72,705.32,200,Delivered,0,
900081,50081,302,LTL,Dry Van,2025-05-01,2025-05-05,2025-05-01,2025-05-05,3,3461,483.8,2001,576.58,94.49,50,Delivered,0,
900082,50082,304,TL,Dry Van,2025-06-20,2025-06-23,2025-06-20,2025-06-23,15,9467,1245.9,1370,3491.11,460.54,0,Delivered,0,
900083,50083,302,LTL,Dry Van,2025-01-21,2025-01-25,2025-01-21,2025-01-25,2,5840,146.5,1826,570.16,57.73,0,Delivered,0,
900084,50084,304,TL,Dry Van,2025-06-27,2025-06-30,2025-06-27,2025-06-29,9,13057,1496.0,1819,3667.49,559.17,125,Delivered,0,
900085,50085,303,TL,Dry Van,2025-01-08,2025-01-12,2025-01-08,2025-01-10,13,14467,1132.1,1905,3437.55,357.07,0,Delivered,0,
900086,50086,302,TL,Dry Van,2025-04-10,2025-04-15,2025-04-09,2025-04-15,13,13781,1014.9,2139,4882.63,554.2,0,Delivered,0,
900087,50087,301,TL,Reefer,2025-06-01,2025-06-02,2025-06-02,2025-06-02,20,24265,1292.9,761,1675.07,201.46,50,Delivered,0,
900088,50088,303,LTL,Dry Van,2025-06-25,2025-06-30,2025-06-26,2025-07-02,2,1560,329.8,2139,564.19,103.5,0,In Transit,0,
900089,50089,300,TL,Dry Van,2025-06-23,2025-06-25,2025-06-24,2025-06-27,12,16463,1005.8,1047,2364.16,422.42,0,Delivered,0,
900090,50090,304,TL,Dry Van,2025-04-24,2025-04-28,2025-04-24,2025-04-27,13,6888,1088.1,1826,4027.69,535.19,0,Delivered,0,
900091,50091,303,LTL,Dry Van,2025-02-17,2025-02-20,2025-02-17,2025-02-20,5,675,412.5,1083,440.19,85.29,125,Delivered,1,Concealed damage
900092,50092,302,LTL,Dry Van,2025-02-03,2025-02-07,2025-02-04,2025-02-07,4,4251,408.2,1905,686.82,98.38,125,Delivered,0,
900093,50093,303,TL,Dry Van,2025-01-10,2025-01-13,2025-01-10,2025-01-13,14,16480,1192.7,1263,3120.07,502.34,0,Delivered,0,
900094,50094,302,TL,Dry Van,2025-06-26,2025-06-30,2025-06-28,2025-07-05,14,23443,1267.5,1925,4452.98,569.12,200,In Transit,0,
900095,50095,303,TL,Dry Van,2025-06-12,2025-06-13,2025-06-12,2025-06-12,12,20946,1208.4,443,954.83,136.76,0,Delivered,1,Shorted
900096,50096,300,LTL,Dry Van,2025-06-04,2025-06-08,2025-06-04,2025-06-10,4,2805,50.0,1925,608.31,89.48,0,Delivered,0,
900097,50097,303,TL,Dry Van,2025-06-12,2025-06-16,2025-06-13,2025-06-18,13,18413,1203.3,1991,5005.48,592.87,200,Delivered,0,
900098,50098,301,TL,Dry Van,2025-03-27,2025-04-01,2025-03-27,2025-04-01,10,19322,1192.5,2139,5071.04,544.48,75,Delivered,0,
900099,50099,301,TL,Dry Van,2025-05-21,2025-05-24,2025-05-23,2025-05-25,15,16532,949.1,1263,2197.57,439.0,125,Delivered,0,
900100,50100,300,TL,Reefer,2025-03-17,2025-03-21,2025-03-17,2025-03-20,8,12238,1482.3,2008,4599.21,610.55,50,Delivered,0,
900101,50101,301,LTL,Dry Van,2025-01-19,2025-01-23,2025-01-19,2025-01-22,7,7316,488.8,2001,739.91,104.75,50,Delivered,0,
900102,50102,300,TL,Reefer,2025-03-11,2025-03-16,2025-03-11,2025-03-16,10,19143,1501.8,2139,4208.69,509.33,0,Delivered,0,
900103,50103,304,TL,Dry Van,2025-06-20,2025-06-24,2025-06-20,2025-06-24,17,10987,1316.1,1925,3638.44,410.63,0,Delivered,0,
900104,50104,302,LTL,Dry Van,2025-01-07,2025-01-08,2025-01-07,2025-01-10,1,9978,223.0,450,300.0,44.61,0,Delayed,0,
900105,50105,302,TL,Dry Van,2025-06-01,2025-06-05,2025-06-01,2025-06-03,15,12703,1095.7,1925,3315.43,474.12,125,Delivered,0,
900106,50106,303,LTL,Dry Van,2025-05-17,2025-05-21,2025-05-18,2025-05-23,13,6509,342.7,1905,842.73,105.25,75,Delayed,0,
900107,50107,303,LTL,Dry Van,2025-04-20,2025-04-24,2025-04-20,2025-04-24,3,3543,258.1,2001,536.32,92.09,0,Delivered,0,
900108,50108,301,LTL,Dry Van,2025-01-10,2025-01-13,2025-01-10,2025-01-12,3,200,55.0,1819,486.91,60.8,0,Delivered,0,
900109,50109,304,LTL,Dry Van,2025-02-27,2025-03-02,2025-02-28,2025-03-04,4,200,62.0,1083,451.85,87.34,0,Delayed,0,
900110,50110,300,TL,Dry Van,2025-02-28,2025-03-05,2025-02-28,2025-03-05,8,14573,1149.9,2287,5490.0,776.99,0,Delivered,1,Shorted
900111,50111,304,LTL,Dry Van,2025-04-02,2025-04-06,2025-04-02,2025-04-08,4,4397,350.8,1698,569.79,72.92,50,Delivered,1,Damaged packaging
900112,50112,304,TL,Dry Van,2025-06-20,2025-06-21,2025-06-19,2025-06-22,13,23399,1134.0,450,955.42,123.28,0,Delivered,0,
900113,50113,304,LTL,Dry Van,2025-02-12,2025-02-17,2025-02-12,2025-02-17,4,4778,354.5,2139,691.64,96.2,50,Delivered,0,
900114,50114,301,TL,Dry Van,2025-01-05,2025-01-09,2025-01-05,2025-01-08,20,16379,1187.2,2001,4518.46,662.88,0,Delivered,0,
900115,50115,301,LTL,Dry Van,2025-01-24,2025-01-27,2025-01-24,2025-01-26,5,200,110.0,1263,550.4,69.06,0,Delivered,0,
900116,50116,300,TL,Dry Van,2025-06-18,2025-06-22,2025-06-18,2025-06-22,8,13419,1155.8,2001,4075.9,680.06,75,Delivered,0,
900117,50117,301,TL,Dry Van,2025-04-17,2025-04-21,2025-04-17,2025-04-20,12,15693,1242.4,1698,3219.5,601.03,0,Delivered,0,
900118,50118,302,LTL,Dry Van,2025-06-07,2025-06-10,2025-06-07,2025-06-09,2,2757,50.0,1370,520.35,77.93,0,Delivered,0,
900119,50119,304,TL,Dry Van,2025-05-11,2025-05-12,2025-05-12,2025-05-12,10,11355,1328.5,443,1038.14,110.97,50,Delivered,0,
900120,50120,301,LTL,Dry Van,2025-05-31,2025-06-04,2025-05-31,2025-06-05,2,200,357.5,1905,839.67,96.14,0,Delivered,0,
900121,50121,301,LTL,Dry Van,2025-01-24,2025-01-28,2025-01-24,2025-01-28,3,4382,50.0,1826,818.21,163.34,200,Delivered,1,Concealed damage
900122,50122,300,TL,Dry Van,2025-01-16,2025-01-17,2025-01-16,2025-01-16,14,19057,1636.0,761,1662.45,196.86,0,Delivered,0,
900123,50123,302,TL,Dry Van,2025-02-25,2025-03-01,2025-02-25,2025-03-03,9,17370,944.1,1905,3618.6,431.84,0,Delayed,0,
900124,50124,301,LTL,Dry Van,2025-04-04,2025-04-06,2025-04-04,2025-04-07,3,4609,522.7,1047,341.08,62.13,0,Delayed,0,
900125,50125,303,TL,Dry Van,2025-06-23,2025-06-27,2025-06-25,2025-06-28,12,18928,1441.2,2181,4282.9,836.63,0,Delivered,0,
900126,50126,303,LTL,Dry Van,2025-06-24,2025-06-29,2025-06-24,2025-06-28,4,4825,358.9,2287,757.73,124.97,50,Delivered,0,
900127,50127,302,TL,Reefer,2025-01-06,2025-01-10,2025-01-06,2025-01-10,13,12963,1382.1,2112,5044.16,926.07,0,Delivered,0,
900128,50128,302,TL,Dry Van,2025-01-28,2025-02-01,2025-01-28,2025-02-03,10,15769,1323.7,2001,4712.53,902.6,0,Delivered,0,
900129,50129,301,TL,Reefer,2025-01-21,2025-01-23,2025-01-21,2025-01-22,8,16784,1069.6,1047,2636.09,456.34,50,Delivered,0,
900130,50130,301,LTL,Dry Van,2025-05-17,2025-05-21,2025-05-17,2025-05-21,1,2683,460.1,1698,511.17,52.71,50,Delivered,0,
900131,50131,304,TL,Dry Van,2025-06-25,2025-06-29,2025-06-25,2025-06-28,6,13114,1232.7,1905,3718.95,691.73,0,Delivered,0,
900132,50132,304,LTL,Dry Van,2025-02-03,2025-02-06,2025-02-03,2025-02-06,8,200,50.0,1083,469.76,84.88,0,Delivered,0,
900133,50133,302,LTL,Dry Van,2025-05-27,2025-05-30,2025-05-27,2025-05-31,2,8051,236.7,1263,519.4,57.44,50,Delivered,0,
900134,50134,301,LTL,Dry Van,2025-04-26,2025-04-30,2025-04-26,2025-04-29,2,563,431.9,2325,1035.04,174.36,0,Delivered,0,
900135,50135,301,TL,Dry Van,2025-01-05,2025-01-07,2025-01-05,2025-01-10,24,19148,1236.3,1047,1843.19,216.0,0,Delivered,0,
900136,50136,304,LTL,Dry Van,2025-02-23,2025-02-26,2025-02-23,2025-02-27,1,3628,149.0,1370,383.55,45.52,0,Delivered,0,
900137,50137,301,LTL,Reefer,2025-05-26,2025-05-30,2025-05-26,2025-05-30,11,3729,360.6,1698,715.45,92.23,75,Delivered,0,
900138,50138,304,LTL,Dry Van,2025-03-03,2025-03-07,2025-03-03,2025-03-05,2,200,530.0,1826,752.16,105.53,0,Delivered,0,
900139,50139,300,TL,Dry Van,2025-04-21,2025-04-24,2025-04-21,2025-04-25,12,13969,1206.2,1083,2348.29,422.23,0,Delayed,0,
900140,50140,302,LTL,Dry Van,2025-05-18,2025-05-22,2025-05-19,2025-05-23,1,3756,371.5,2181,868.67,159.84,200,Delivered,0,
900141,50141,302,TL,Dry Van,2025-03-17,2025-03-21,2025-03-17,2025-03-21,16,12454,1011.3,1991,5086.35,898.27,125,Delivered,0,
900142,50142,304,LTL,Dry Van,2025-06-18,2025-06-22,2025-06-18,2025-06-21,4,3375,501.4,1698,677.4,75.74,0,Delivered,0,
900143,50143,300,TL,Dry Van,2025-04-29,2025-05-02,2025-04-29,2025-05-05,14,13839,1337.9,1083,2349.89,310.21,0,Delayed,0,
900144,50144,303,TL,Dry Van,2025-02-20,2025-02-23,2025-02-20,2025-02-22,12,10278,1044.2,1263,2352.09,413.15,0,Canceled,0,
900145,50145,301,TL,Reefer,2025-02-15,2025-02-20,2025-02-14,2025-02-19,17,21275,1260.5,2139,5065.67,582.88,0,Delivered,0,
900146,50146,302,TL,Dry Van,2025-07-01,2025-07-05,2025-07-01,2025-07-05,11,15349,1032.0,2001,3455.42,452.01,125,In Transit,0,
900147,50147,300,TL,Dry Van,2025-05-29,2025-06-02,2025-05-28,2025-06-01,10,14250,833.1,1925,4066.09,561.67,0,Delivered,0,
900148,50148,300,TL,Dry Van,2025-06-10,2025-06-14,2025-06-10,2025-06-14,13,12747,1351.9,1991,4127.9,547.84,200,Delivered,0,
900149,50149,302,LTL,Dry Van,2025-04-19,2025-04-24,2025-04-19,2025-04-23,2,200,618.9,2139,889.18,175.18,0,Delivered,0,
900150,50150,302,TL,Dry Van,2025-02-05,2025-02-08,2025-02-06,2025-02-09,12,10113,1487.5,1370,2663.62,361.61,0,Canceled,0,
900151,50151,301,TL,Dry Van,2025-02-27,2025-03-03,2025-02-27,2025-03-01,11,14753,1428.6,1925,4292.92,650.69,125,Delivered,0,
900152,50152,301,TL,Dry Van,2025-06-16,2025-06-21,2025-06-16,2025-06-19,15,10734,1074.8,2287,4370.3,677.73,75,Delivered,0,
900153,50153,301,LTL,Dry Van,2025-01-31,2025-02-03,2025-01-31,2025-02-02,1,4954,50.0,1819,584.09,74.46,200,Delivered,0,
900154,50154,303,LTL,Dry Van,2025-04-16,2025-04-20,2025-04-16,2025-04-21,2,4269,744.5,1905,568.69,72.46,75,Delivered,0,
900155,50155,300,TL,Reefer,2025-01-22,2025-01-26,2025-01-22,2025-01-27,10,15893,1065.0,2181,3862.9,575.27,0,Delivered,0,
900156,50156,302,TL,Reefer,2025-05-10,2025-05-11,2025-05-10,2025-05-10,17,20081,1010.9,450,847.1,102.61,200,Delivered,0,
900157,50157,303,LTL,Dry Van,2025-02-02,2025-02-05,2025-02-02,2025-02-05,3,396,588.3,1370,425.7,71.31,0,Delivered,0,
900158,50158,302,TL,Reefer,2025-03-20,2025-03-24,2025-03-20,2025-03-23,17,11831,1257.3,2112,4094.15,521.16,0,Delivered,0,
900159,50159,300,TL,Dry Van,2025-05-05,2025-05-06,2025-05-06,2025-05-07,9,9441,1026.0,348,842.99,94.94,0,Delivered,0,
900160,50160,301,LTL,Reefer,2025-05-31,2025-06-04,2025-05-31,2025-06-04,3,200,415.9,2008,625.08,64.69,0,Delivered,0,
900161,50161,303,LTL,Dry Van,2025-04-03,2025-04-07,2025-04-03,2025-04-07,7,200,214.1,2001,842.23,117.91,50,Delivered,0,
900162,50162,300,TL,Dry Van,2025-05-25,2025-05-26,2025-05-26,2025-05-27,10,15720,1147.3,348,700.09,125.57,0,Delivered,0,
900163,50163,301,TL,Dry Van,2025-01-09,2025-01-13,2025-01-09,2025-01-14,12,11826,1433.5,1698,3401.0,613.63,0,Delivered,0,
900164,50164,303,LTL,Dry Van,2025-06-11,2025-06-14,2025-06-10,2025-06-13,1,2702,452.3,1819,536.84,95.51,0,Delivered,0,
900165,50165,301,TL,Dry Van,2025-02-16,2025-02-19,2025-02-16,2025-02-18,12,19558,1089.6,1775,4506.55,676.73,0,Delivered,0,
900166,50166,302,TL,Dry Van,2025-06-22,2025-06-26,2025-06-22,2025-06-25,11,12397,1212.7,1698,3001.21,429.36,0,Delivered,0,
900167,50167,301,LTL,Reefer,2025-01-10,2025-01-14,2025-01-10,2025-01-14,4,3326,537.8,1991,623.51,73.66,0,Delivered,0,
900168,50168,303,TL,Reefer,2025-06-18,2025-06-22,2025-06-18,2025-06-22,11,18321,1252.8,1826,3954.67,664.77,0,Delivered,0,
900169,50169,301,TL,Dry Van,2025-01-20,2025-01-21,2025-01-20,2025-01-20,14,16266,1137.3,443,824.44,116.57,75,Delivered,0,
900170,50170,300,LTL,Dry Van,2025-01-21,2025-01-25,2025-01-21,2025-01-25,2,1430,344.5,1991,668.61,93.26,0,Delivered,0,
900171,50171,300,LTL,Dry Van,2025-06-18,2025-06-20,2025-06-18,2025-06-20,3,2164,281.1,1047,447.32,56.87,75,Delivered,0,
900172,50172,303,TL,Dry Van,2025-06-02,2025-06-06,2025-06-02,2025-06-06,13,17563,1022.3,2325,5376.3,745.96,0,Delivered,0,
900173,50173,301,TL,Dry Van,2025-06-14,2025-06-18,2025-06-14,2025-06-18,10,14288,1328.7,1962,4184.59,510.89,0,Delivered,0,
900174,50174,304,LTL,Dry Van,2025-03-01,2025-03-02,2025-03-01,2025-03-02,2,200,431.9,348,300.0,58.24,0,Delivered,0,
900175,50175,304,TL,Dry Van,2025-05-23,2025-05-26,2025-05-23,2025-05-26,12,11014,1555.9,1775,4162.37,535.57,75,Delivered,0,
900176,50176,300,LTL,Dry Van,2025-04-23,2025-04-27,2025-04-23,2025-04-25,4,4774,182.9,2325,945.39,156.52,50,Delivered,0,
900177,50177,301,LTL,Dry Van,2025-01-26,2025-01-27,2025-01-25,2025-01-26,2,200,50.0,348,300.0,30.28,0,Delivered,0,
900178,50178,301,LTL,Dry Van,2025-03-01,2025-03-05,2025-03-02,2025-03-05,5,4285,419.9,1826,568.69,75.8,50,Canceled,0,
900179,50179,300,TL,Dry Van,2025-06-06,2025-06-07,2025-06-05,2025-06-05,8,16735,1294.1,348,659.92,109.74,75,Delivered,0,
